# Pleiades Stellar Mass Catalogue
#
# Astrometric and photometric catalogue of candidate cluster members.
#
# Coordinate system: ICRS
# Astrometry: Gaia DR3
# Supplementary photometry: UKIDSS where available.
#
# ra            Right ascension (ICRS, J2000)                     deg
# dec           Declination (ICRS, J2000)                         deg
# par           Parallax                                          mas
# epar          Uncertainty in parallax                           mas
# pmra          Proper motion in RA x cos(Dec)                    mas yr^-1
# epmra         Uncertainty in pmra                               mas yr^-1
# pmdec         Proper motion in Declination                      mas yr^-1
# epmdec        Uncertainty in pmdec                              mas yr^-1
# gmag          Gaia G-band apparent magnitude                    mag
# g_flux        Gaia G-band flux                                  e- s^-1
# g_flux_err    Uncertainty in Gaia G-band flux                   e- s^-1
# bmag          Gaia BP-band apparent magnitude                   mag
# b_flux        Gaia BP-band flux                                 e- s^-1
# b_flux_err    Uncertainty in Gaia BP-band flux                  e- s^-1
# rmag          Gaia RP-band apparent magnitude                   mag
# r_flux        Gaia RP-band flux                                 e- s^-1
# r_flux_err    Uncertainty in Gaia RP-band flux                  e- s^-1
# g_r           Gaia G-RP colour                                  mag
# rv            Radial velocity                                   km s^-1
# rv_err        Uncertainty in radial velocity                    km s^-1
# egmag         Uncertainty in G-band magnitude                   mag
# ebmag         Uncertainty in BP-band magnitude                  mag
# ermag         Uncertainty in RP-band magnitude                  mag
# eg_r          Uncertainty in G-RP colour                        mag
# Survey        Source of supplementary infrared photometry       -
# zmag          UKIDSS Z-band magnitude                           mag
# ezmag         Uncertainty in Z-band magnitude                   mag
# ymag          UKIDSS Y-band magnitude                           mag
# eymag         Uncertainty in Y-band magnitude                   mag
# jmag          UKIDSS J-band magnitude                           mag
# ejmag         Uncertainty in J-band magnitude                   mag
# hmag          UKIDSS H-band magnitude                           mag
# ehmag         Uncertainty in H-band magnitude                   mag
# kmag          UKIDSS K-band magnitude                           mag
# ekmag         Uncertainty in K-band magnitude                   mag
# z_y           Z-Y colour                                        mag
# ez_y          Uncertainty in Z-Y colour                         mag
# y_j           Y-J colour                                        mag
# ey_j          Uncertainty in Y-J colour                         mag
# j_h           J-H colour                                        mag
# ej_h          Uncertainty in J-H colour                         mag
# h_k           H-K colour                                        mag
# eh_k          Uncertainty in H-K colour                         mag
# G_ABS         Absolute Gaia G-band magnitude                    mag
# B_ABS         Absolute Gaia BP-band magnitude                   mag
# R_ABS         Absolute Gaia RP-band magnitude                   mag
# eG_ABS        Uncertainty in absolute G magnitude               mag
# eB_ABS        Uncertainty in absolute BP magnitude              mag
# eR_ABS        Uncertainty in absolute RP magnitude              mag
# Mass_pc       Stellar mass from PARSEC isochrones              Msun
# eMass_pc      Uncertainty in PARSEC stellar mass               Msun
# Mass_mst      Stellar mass from MIST isochrones                Msun
# eMass_mst     Uncertainty in MIST stellar mass                 Msun
# Mass_ML       Stellar mass from empirical m-L relation         Msun
# eMass_ML      Uncertainty in empirical stellar mass            Msun
#
# Missing values are represented by NaN.
#
       ra       dec      par      epar      pmra     epmra      pmdec    epmdec      gmag           g_flux     g_flux_err      bmag           b_flux     b_flux_err      rmag           r_flux    r_flux_err       g_r          rv    rv_err    egmag    ebmag    ermag     eg_r Survey      zmag    ezmag      ymag    eymag      jmag             ejmag      hmag             ehmag              kmag             ekmag       z_y     ez_y       y_j              ey_j       j_h              ej_h               h_k              eh_k     G_ABS     B_ABS     R_ABS   eG_ABS   eB_ABS   eR_ABS  Mass_pc  eMass_pc  Mass_mst  eMass_mst  Mass_ML  eMass_ML
52.861404 27.326560 7.205456  0.051962 21.026229  0.044863 -43.595746  0.036554 15.543323     11418.730477      12.232180 16.983023      2198.913717      14.968423 14.370140     14161.265374     33.123978  1.173183    4.532347  7.701855 0.001163 0.007391 0.002540 0.002793    G+U 13.638337 0.001844 13.248610 0.001602 12.698812          0.001651       NaN -999999500.000000         11.844927          0.000816  0.389728 0.002443  0.549798          0.002300       NaN -999999500.000000 -999999500.000000 -999999500.000000  9.831630 11.271330  8.658447 0.015703 0.017316 0.015864 0.421238  0.001009  0.368553   0.003116 0.398458  0.015474
52.046276 27.307023 7.552711  0.017437 22.224231  0.019571 -46.822112  0.017161 10.601268   1082529.059828     503.029940 10.965276    561444.207568     779.314900 10.071199    742469.115845    838.020800  0.530068    3.380489  0.555110 0.000505 0.001507 0.001225 0.001325      G       NaN      NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN  4.991782  5.355790  4.461713 0.005039 0.005235 0.005161 1.014286  0.000563  1.013757   0.000586 0.971517  0.003208
61.459967 20.832912 7.632529  0.133897 17.518106  0.152538 -45.382572  0.086074 17.708714      1554.038026       1.843720 19.752680       171.531838       8.244717 16.390320      2203.079230      9.225108  1.318394         NaN       NaN 0.001288 0.052186 0.004546 0.004725      G       NaN      NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN 12.122056 14.166022 10.803662 0.038116 0.064611 0.038364 0.176876  0.001614  0.140896   0.001298 0.157193  0.021128
62.161837 21.793829 7.015277  0.149201 16.953490  0.182274 -44.084224  0.129588 17.973934      1217.231325       1.890210 20.114965       122.865711       8.847898 16.643000      1745.654531     12.773905  1.330934         NaN       NaN 0.001686 0.078187 0.007945 0.008122      G       NaN      NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN 12.204158 14.345189 10.873224 0.046214 0.090808 0.046861 0.170756  0.001978  0.136668   0.001611 0.149571  0.024220
60.358621 21.585597 7.473926  0.049694 19.104297  0.060031 -45.854030  0.036239 16.101020      6831.848517       7.059342 17.739914      1095.093854      12.223853 14.863558      8989.493198     22.104160  1.237463         NaN       NaN 0.001122 0.012119 0.002670 0.002896    G+U 14.044389 0.002232 13.639996 0.001896 13.071870          0.002053 12.490793          0.001457         12.178021          0.000800  0.404393 0.002928  0.568126          0.002794  0.581077          0.002518          0.312773          0.001663 10.468764 12.107658  9.231302 0.014481 0.018850 0.014683 0.342487  0.001134  0.292488   0.000865 0.306214  0.020791
60.440958 21.734592 7.636665  0.296515 18.643510  0.379453 -46.225351  0.204281 19.061277       447.132095       1.024264 21.065935        51.173226       7.068787 17.636202       699.322588      6.628893  1.425075         NaN       NaN 0.002487 0.149978 0.010292 0.010588    G+U 16.644190 0.009358 15.913921 0.006618 15.183242          0.006680 14.661465          0.005899         14.264920          0.003037  0.730268 0.011461  0.730680          0.009403  0.521777          0.008912          0.396544          0.006635 13.475796 15.480454 12.050721 0.084350 0.172053 0.084939 0.114056  0.001806       NaN        NaN 0.117466  0.014915
61.145029 22.046067 7.307982  0.075272 18.340498  0.068498 -45.891860  0.041253 16.594816      4335.307667       3.462989 18.358774       619.308606      15.699134 15.320143      5903.383004     17.124092  1.274674         NaN       NaN 0.000867 0.027523 0.003149 0.003267    G+U 14.508210 0.002648 14.023109 0.002140 13.423252          0.002155 12.875748          0.001985         12.550160          0.001093  0.485101 0.003404  0.599857          0.003037  0.547504          0.002930          0.325587          0.002266 10.913803 12.677761  9.639130 0.022383 0.035465 0.022587 0.286881  0.001693  0.245146   0.001588 0.249879  0.027590
61.307231 22.304919 7.311825  0.066251 17.188156  0.081299 -46.426069  0.045902 16.657433      4092.359920       3.237094 18.613056       489.997989       7.327624 15.337592      5809.266271     13.877441  1.319840         NaN       NaN 0.000859 0.016237 0.002594 0.002732    G+U 14.472489 0.002536 13.933760 0.002018 13.297783          0.001980       NaN -999999500.000000         12.388124          0.001019  0.538730 0.003241  0.635977          0.002827       NaN -999999500.000000 -999999500.000000 -999999500.000000 10.977562 12.933185  9.657721 0.019694 0.025510 0.019845 0.273963  0.001372  0.231577   0.001379 0.227197  0.020176
59.708620 21.614560 7.748227  0.128194 18.773078  0.148361 -46.134750  0.099960 17.698153      1569.226508       1.948360 20.094475       125.206466       7.437580 16.288430      2419.840214     11.429418  1.409723         NaN       NaN 0.001348 0.064495 0.005128 0.005302    G+U 15.383704 0.004625 14.774584 0.003522 14.108675          0.003596 13.557646          0.002830         13.195110          0.001505  0.609120 0.005813  0.665909          0.005033  0.551029          0.004576          0.362535          0.003205 12.144165 14.540487 10.734442 0.035952 0.073827 0.036291 0.174111  0.001580  0.139662   0.001289 0.139985  0.020759
59.872245 21.665448 7.165017  0.126374 17.959933  0.139236 -43.034561  0.094974 17.863470      1347.592053       1.455921 19.836200       158.831401       8.288456 16.542946      1914.167027     10.011781  1.320524         NaN       NaN 0.001173 0.056658 0.005679 0.005799    G+U 15.656726 0.005327 15.114885 0.004349 14.478045          0.004646 13.964372          0.003797         13.593452          0.001990  0.541841 0.006877  0.636840          0.006364  0.513674          0.006000          0.370919          0.004287 12.139556 14.112286 10.819032 0.038318 0.068389 0.038718 0.176627  0.001636  0.140941   0.001322 0.159269  0.022047
