# Praesepe Stellar Mass Catalogue
#
# Astrometric and photometric catalogue of candidate cluster members.
#
# Coordinate system: ICRS
# Astrometry: Gaia DR3
# Supplementary photometry: UKIDSS where available.
#
# ra            Right ascension (ICRS, J2000)                     deg
# dec           Declination (ICRS, J2000)                         deg
# par           Parallax                                          mas
# epar          Uncertainty in parallax                           mas
# pmra          Proper motion in RA x cos(Dec)                    mas yr^-1
# epmra         Uncertainty in pmra                               mas yr^-1
# pmdec         Proper motion in Declination                      mas yr^-1
# epmdec        Uncertainty in pmdec                              mas yr^-1
# gmag          Gaia G-band apparent magnitude                    mag
# g_flux        Gaia G-band flux                                  e- s^-1
# g_flux_err    Uncertainty in Gaia G-band flux                   e- s^-1
# bmag          Gaia BP-band apparent magnitude                   mag
# b_flux        Gaia BP-band flux                                 e- s^-1
# b_flux_err    Uncertainty in Gaia BP-band flux                  e- s^-1
# rmag          Gaia RP-band apparent magnitude                   mag
# r_flux        Gaia RP-band flux                                 e- s^-1
# r_flux_err    Uncertainty in Gaia RP-band flux                  e- s^-1
# g_r           Gaia G-RP colour                                  mag
# rv            Radial velocity                                   km s^-1
# rv_err        Uncertainty in radial velocity                    km s^-1
# egmag         Uncertainty in G-band magnitude                   mag
# ebmag         Uncertainty in BP-band magnitude                  mag
# ermag         Uncertainty in RP-band magnitude                  mag
# eg_r          Uncertainty in G-RP colour                        mag
# Survey        Source of supplementary infrared photometry       -
# zmag          UKIDSS Z-band magnitude                           mag
# ezmag         Uncertainty in Z-band magnitude                   mag
# ymag          UKIDSS Y-band magnitude                           mag
# eymag         Uncertainty in Y-band magnitude                   mag
# jmag          UKIDSS J-band magnitude                           mag
# ejmag         Uncertainty in J-band magnitude                   mag
# hmag          UKIDSS H-band magnitude                           mag
# ehmag         Uncertainty in H-band magnitude                   mag
# kmag          UKIDSS K-band magnitude                           mag
# ekmag         Uncertainty in K-band magnitude                   mag
# z_y           Z-Y colour                                        mag
# ez_y          Uncertainty in Z-Y colour                         mag
# y_j           Y-J colour                                        mag
# ey_j          Uncertainty in Y-J colour                         mag
# j_h           J-H colour                                        mag
# ej_h          Uncertainty in J-H colour                         mag
# h_k           H-K colour                                        mag
# eh_k          Uncertainty in H-K colour                         mag
# G_ABS         Absolute Gaia G-band magnitude                    mag
# B_ABS         Absolute Gaia BP-band magnitude                   mag
# R_ABS         Absolute Gaia RP-band magnitude                   mag
# eG_ABS        Uncertainty in absolute G magnitude               mag
# eB_ABS        Uncertainty in absolute BP magnitude              mag
# eR_ABS        Uncertainty in absolute RP magnitude              mag
# Mass_pc       Stellar mass from PARSEC isochrones              Msun
# eMass_pc      Uncertainty in PARSEC stellar mass               Msun
# Mass_mst      Stellar mass from MIST isochrones                Msun
# eMass_mst     Uncertainty in MIST stellar mass                 Msun
# Mass_ML       Stellar mass from empirical m-L relation         Msun
# eMass_ML      Uncertainty in empirical stellar mass            Msun
#
# Missing values are represented by NaN.
#
        ra       dec      par     epar       pmra    epmra      pmdec   epmdec      gmag          g_flux   g_flux_err      bmag          b_flux   b_flux_err      rmag          r_flux   r_flux_err      g_r          rv    rv_err    egmag    ebmag    ermag     eg_r Survey      zmag    ezmag      ymag    eymag      jmag              ejmag      hmag              ehmag      kmag    ekmag       z_y     ez_y       y_j               ey_j       j_h               ej_h                h_k               eh_k     G_ABS     B_ABS     R_ABS   eG_ABS   eB_ABS   eR_ABS  Mass_pc  eMass_pc  Mass_mst  eMass_mst  Mass_ML  eMass_ML
127.430787 18.563348 4.781109 0.321094 -32.916529 0.303096 -11.584269 0.211605 19.247662      376.601832     0.839653 20.920780       58.493116     5.966657 17.899645      548.656097     8.186133 1.348017         NaN       NaN 0.002421 0.110752 0.016200 0.016379    G+U 17.092957 0.011558 16.432100 0.008139 15.791446           0.008855 15.206051           0.007724 14.855893 0.006306  0.660856 0.014136  0.640655           0.012027  0.585395           0.011750           0.350158           0.009971 12.645305 14.318423 11.297288 0.145854 0.183121 0.146731 0.193391  0.004833  0.144146   0.003443 0.144389  0.023390
127.217337 18.559213 5.437499 0.474109 -34.057962 0.501892 -12.549605 0.325815 19.685694      251.575874     0.656502 21.393390       37.849512     5.672114 18.224144      406.912458     6.328174 1.461550         NaN       NaN 0.002833 0.162708 0.016885 0.017121    G+U 17.333395 0.013280 16.545406 0.008786 15.798984           0.008683 15.225063           0.007512 14.836227 0.005442  0.787989 0.015924  0.746423           0.012353  0.573920           0.011481           0.388836           0.009276 13.362690 15.070386 11.901140 0.189357 0.249644 0.190087 0.161084  0.004722  0.121295   0.003659 0.121625  0.017111
126.231672 19.051209 5.343932 0.377541 -32.480038 0.396560 -13.781687 0.285770 19.542183      287.126578     0.826328 21.101670       49.516408     7.253529 18.152788      434.553435     6.626543 1.389395         NaN       NaN 0.003125 0.159047 0.016556 0.016849      G       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN 13.181488 14.740975 11.792093 0.153443 0.220977 0.154302 0.168256  0.004282  0.127118   0.003180 0.130112  0.020176
127.928886 18.485089 5.413811 0.096830 -34.626211 0.103390 -12.238043 0.070680 17.295572     2273.620096     2.404211 18.987175      347.173483    12.384999 16.036137     3052.836999    13.892316 1.259436         NaN       NaN 0.001148 0.038732 0.004941 0.005072    G+U 15.257211 0.004106 14.810568 0.003232 14.221982           0.003437 13.643955           0.002762 13.403559 0.001967  0.446643 0.005226  0.588586           0.004718  0.578027           0.004409           0.240397           0.003390 10.963088 12.654691  9.703653 0.038855 0.054851 0.039151 0.322234  0.002479  0.255927   0.002346 0.242204  0.030550
128.221018 18.508112 5.423923 0.049051 -35.216793 0.050243 -12.862171 0.035613 15.751560     9425.892576     7.355434 17.076246     2017.986939    13.261263 14.613261    11320.194826    21.046120 1.138299         NaN       NaN 0.000847 0.007135 0.002019 0.002189    G+U 13.936253 0.002172 13.554269 0.001746 13.052990           0.001935 12.459750           0.001478 12.201114 0.000998  0.381984 0.002787  0.501279           0.002607  0.593240           0.002435           0.258636           0.001783  9.423128 10.747814  8.284829 0.019656 0.020894 0.019741 0.491000  0.001238  0.419005   0.003637 0.442931  0.014312
127.920252 18.495238 5.413321 0.078428 -34.884020 0.077837 -12.049488 0.053892 16.796719     3599.642654     2.991374 18.290903      659.258441    11.572304 15.596305     4577.582029    11.777646 1.200414         NaN       NaN 0.000902 0.019058 0.002793 0.002936    G+U 14.893045 0.003415 14.473317 0.002722 13.898538           0.002907 13.339939           0.002327 13.069506 0.001598  0.419728 0.004367  0.574779           0.003983  0.558598           0.003724           0.270433           0.002823 10.464038 11.958222  9.263624 0.031473 0.036783 0.031584 0.378925  0.001956  0.306958   0.001840 0.310369  0.024612
127.975960 18.760016 5.244677 0.117138 -34.443094 0.122231 -11.983560 0.089069 17.614841     1694.377587     1.757585 19.374660      242.970198     8.048514 16.364480     2256.143929     9.521546 1.250362         NaN       NaN 0.001126 0.035966 0.004582 0.004718    G+U 15.593955 0.004898 15.083673 0.003729 14.513589           0.003982 13.960370           0.003471 13.797666 0.002522  0.510282 0.006156  0.570085           0.005456  0.553219           0.005283           0.162704           0.004290 11.213435 12.973254  9.963074 0.048512 0.060380 0.048715 0.295971  0.002580  0.229838   0.002574 0.219002  0.026141
128.261898 18.682582 5.376664 0.025606 -34.032648 0.024640 -12.695088 0.016351 12.973330   121790.921166    33.463980 13.585369    50265.430928    49.238705 12.231134   101555.770303    66.632040 0.742195   37.632782  0.946462 0.000298 0.001064 0.000712 0.000772    G+U 11.845328 0.000837 11.892681 0.000804 11.347149           0.000857 10.863877           0.000678 10.870685 0.000500 -0.047353 0.001161  0.545532           0.001175  0.483272           0.001093          -0.006807           0.000842  6.625895  7.237934  5.883699 0.010346 0.010396 0.010366 0.766035  0.000636  0.747621   0.001069 0.767673  0.002473
128.203076 18.677931 5.026211 0.066053 -33.173056 0.074032 -12.203135 0.044125 16.368090     5342.090484     6.080540 18.016470      848.845966    10.162610 15.119658     7100.600974    17.315493 1.248432         NaN       NaN 0.001236 0.012999 0.002648 0.002922    G+U 14.332956 0.002684 13.848106 0.002031 13.276066           0.002148 12.762567           0.001732 12.476678 0.001154  0.484850 0.003366  0.572041           0.002956  0.513498           0.002760           0.285890           0.002081  9.874293 11.522673  8.625861 0.028563 0.031358 0.028659 0.436350  0.001782  0.362638   0.001768 0.354780  0.022778
128.231758 18.732774 5.412420 0.024794 -34.964263 0.021122 -12.905337 0.014108 12.749789   149634.254448    43.573280 13.316886    64366.862852    43.278503 12.043404   120724.897220    67.036285 0.706386   34.080994  0.834118 0.000316 0.000730 0.000603 0.000681    G+U 11.795852 0.000813 11.979006 0.000832 11.339695           0.000849 10.882737           0.000681 10.937976 0.000516 -0.183154 0.001164  0.639311           0.001189  0.456958           0.001088          -0.055239           0.000854  6.416747  6.983844  5.710362 0.009952 0.009974 0.009966 0.789666  0.000665  0.774085   0.000647 0.788995  0.002041
128.367376 18.726710 5.734217 0.147083 -34.880751 0.147852 -13.130864 0.100641 18.013212     1173.982197     1.585533 19.798810      164.396807    16.672367 16.727575     1614.834491    11.915989 1.285637         NaN       NaN 0.001466 0.110110 0.008012 0.008145    G+U 15.956097 0.006064 15.399826 0.004444 14.814500           0.004760 14.279461           0.004117 13.934701 0.002906  0.556271 0.007518  0.585326           0.006512  0.535039           0.006294           0.344760           0.005040 11.805582 13.591180 10.519945 0.055718 0.123396 0.056272 0.243833  0.002905  0.188909   0.002820 0.179525  0.034851
128.282012 18.754325 5.265861 0.121693 -32.903120 0.110742 -12.052294 0.073884 17.382080     2099.493238     2.402031 19.070160      321.627311     8.358598 16.151144     2745.999289    12.444112 1.230936         NaN       NaN 0.001242 0.028217 0.004920 0.005075    G+U 15.417530 0.004564 14.967787 0.003516 14.379299           0.003738 13.820450           0.003095 13.504712 0.002160  0.449743 0.005761  0.588488           0.005132  0.558849           0.004853           0.315738           0.003774 10.989427 12.677507  9.758491 0.050198 0.057571 0.050423 0.317698  0.003130  0.249693   0.002771 0.242363  0.025996
128.432950 18.797411 5.305184 0.057051 -33.750876 0.058423 -12.250506 0.040525 16.157934     6482.960256     5.424531 17.556692     1296.401905    10.807999 14.996733     7951.792617    18.275295 1.161201         NaN       NaN 0.000908 0.009052 0.002495 0.002656    G+U 14.309169 0.002598 13.900263 0.002042 13.395721           0.002241 12.808835           0.001817 12.515010 0.001157  0.408906 0.003305  0.504541           0.003032  0.586886           0.002885           0.293825           0.002154  9.781436 11.180194  8.620235 0.023369 0.025045 0.023484 0.451908  0.001406  0.377277   0.001896 0.395546  0.016837
