# Alpha Persei Stellar Mass Catalogue
#
# Astrometric and photometric catalogue of candidate cluster members.
#
# Coordinate system: ICRS
# Astrometry: Gaia DR3
# Supplementary photometry: UKIDSS where available.
#
# ra            Right ascension (ICRS, J2000)                     deg
# dec           Declination (ICRS, J2000)                         deg
# par           Parallax                                          mas
# epar          Uncertainty in parallax                           mas
# pmra          Proper motion in RA x cos(Dec)                    mas yr^-1
# epmra         Uncertainty in pmra                               mas yr^-1
# pmdec         Proper motion in Declination                      mas yr^-1
# epmdec        Uncertainty in pmdec                              mas yr^-1
# gmag          Gaia G-band apparent magnitude                    mag
# g_flux        Gaia G-band flux                                  e- s^-1
# g_flux_err    Uncertainty in Gaia G-band flux                   e- s^-1
# bmag          Gaia BP-band apparent magnitude                   mag
# b_flux        Gaia BP-band flux                                 e- s^-1
# b_flux_err    Uncertainty in Gaia BP-band flux                  e- s^-1
# rmag          Gaia RP-band apparent magnitude                   mag
# r_flux        Gaia RP-band flux                                 e- s^-1
# r_flux_err    Uncertainty in Gaia RP-band flux                  e- s^-1
# g_r           Gaia G-RP colour                                  mag
# rv            Radial velocity                                   km s^-1
# rv_err        Uncertainty in radial velocity                    km s^-1
# egmag         Uncertainty in G-band magnitude                   mag
# ebmag         Uncertainty in BP-band magnitude                  mag
# ermag         Uncertainty in RP-band magnitude                  mag
# eg_r          Uncertainty in G-RP colour                        mag
# Survey        Source of supplementary infrared photometry       -
# zmag          UKIDSS Z-band magnitude                           mag
# ezmag         Uncertainty in Z-band magnitude                   mag
# ymag          UKIDSS Y-band magnitude                           mag
# eymag         Uncertainty in Y-band magnitude                   mag
# jmag          UKIDSS J-band magnitude                           mag
# ejmag         Uncertainty in J-band magnitude                   mag
# hmag          UKIDSS H-band magnitude                           mag
# ehmag         Uncertainty in H-band magnitude                   mag
# kmag          UKIDSS K-band magnitude                           mag
# ekmag         Uncertainty in K-band magnitude                   mag
# z_y           Z-Y colour                                        mag
# ez_y          Uncertainty in Z-Y colour                         mag
# y_j           Y-J colour                                        mag
# ey_j          Uncertainty in Y-J colour                         mag
# j_h           J-H colour                                        mag
# ej_h          Uncertainty in J-H colour                         mag
# h_k           H-K colour                                        mag
# eh_k          Uncertainty in H-K colour                         mag
# G_ABS         Absolute Gaia G-band magnitude                    mag
# B_ABS         Absolute Gaia BP-band magnitude                   mag
# R_ABS         Absolute Gaia RP-band magnitude                   mag
# eG_ABS        Uncertainty in absolute G magnitude               mag
# eB_ABS        Uncertainty in absolute BP magnitude              mag
# eR_ABS        Uncertainty in absolute RP magnitude              mag
# Mass_pc       Stellar mass from PARSEC isochrones              Msun
# eMass_pc      Uncertainty in PARSEC stellar mass               Msun
# Mass_mst      Stellar mass from MIST isochrones                Msun
# eMass_mst     Uncertainty in MIST stellar mass                 Msun
# Mass_ML       Stellar mass from empirical m-L relation         Msun
# eMass_ML      Uncertainty in empirical stellar mass            Msun
#
# Missing values are represented by NaN.
#
       ra       dec      par     epar      pmra     epmra      pmdec    epmdec      gmag           g_flux    g_flux_err      bmag           b_flux    b_flux_err      rmag           r_flux    r_flux_err       g_r         rv    rv_err    egmag    ebmag    ermag     eg_r Survey      zmag    ezmag      ymag    eymag      jmag              ejmag      hmag              ehmag      kmag    ekmag       z_y     ez_y       y_j               ey_j       j_h               ej_h                h_k               eh_k     G_ABS     B_ABS     R_ABS   eG_ABS   eB_ABS   eR_ABS  Mass_pc  eMass_pc  Mass_mst  eMass_mst  Mass_ML  eMass_ML
48.272050 49.009294 5.732291 0.031605 22.151227  0.034346 -24.875839  0.026149  7.950803  12434418.114848   4217.877000  7.997701   8636475.696045   4843.666000  7.824770   5878277.249590   1940.525500  0.126033  -1.631029  0.165709 0.000368 0.000609 0.000358 0.000514    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  1.742444  1.789342  1.616412 0.011978 0.011988 0.011978 2.199184  0.004948  2.240640   0.005669      NaN       NaN
48.459891 49.568769 5.768468 0.027292 24.465209  0.028178 -24.703150  0.033672  7.137924  26289182.745095   8250.781000  7.148034  18888754.376330  11845.005000  7.075852  11717019.434701   4967.228000  0.062072   6.440671  0.546458 0.000341 0.000681 0.000460 0.000573    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  0.943226  0.953336  0.881155 0.010279 0.010296 0.010284 2.869215  0.005528  2.923949   0.005940      NaN       NaN
49.686703 49.769845 5.682154 0.030709 23.477219  0.032356 -24.662142  0.031191  7.937751  12584799.623036   5266.105000  7.983326   8751580.196369   5794.477500  7.823111   5887271.246459   2513.378400  0.114641  -6.726463  1.519950 0.000454 0.000719 0.000464 0.000649    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  1.710316  1.755891  1.595676 0.011744 0.011758 0.011745 2.220375  0.004974  2.263649   0.005455      NaN       NaN
53.993856 47.090913 5.766490 0.033272 22.385554  0.033596 -25.759730  0.030965  6.867410  33727398.411927  17125.662000  6.847448  24913661.641187  36455.740000  6.862416  14262370.468158  16386.660000  0.004993        NaN       NaN 0.000551 0.001589 0.001247 0.001364    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  0.671967  0.652006  0.666974 0.012541 0.012629 0.012591 3.123853  0.007178  3.193633   0.007724      NaN       NaN
54.565070 47.576859 5.838096 0.110270 21.887712  0.113381 -27.175013  0.093762  7.445138  19810313.261097   7578.961400  7.438660  14452829.370477   8038.674300  7.418984   8542097.663264   5285.762700  0.026155   1.800799  1.273370 0.000415 0.000604 0.000672 0.000790    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  1.276495  1.270016  1.250340 0.041017 0.041019 0.041020 2.563221  0.020413  2.611542   0.020493      NaN       NaN
56.364954 47.660235 5.570896 0.034748 20.541684  0.034515 -26.121999  0.028195  7.164807  25646260.469780   7040.625500  7.149186  18868720.260591   8711.325000  7.156385  10879382.883055   6876.737000  0.008422   7.007697  0.594096 0.000298 0.000501 0.000686 0.000748    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  0.894432  0.878811  0.886010 0.013548 0.013554 0.013562 2.907411  0.007344  2.962581   0.007683      NaN       NaN
53.342870 47.421930 5.861986 0.030739 22.743462  0.030749 -26.698229  0.029514  8.193308   9945428.020876   2977.740000  8.257850   6796369.017137   4194.612300  8.044343   4801985.378348   1725.219800  0.148965  -5.082845  1.273079 0.000325 0.000670 0.000390 0.000508  G+U+H 11.797034 0.000881 12.694519 0.001303 12.882589           0.001932 12.619334           0.001570 10.250437 0.000406 -0.897485 0.001573 -0.188070           0.002330  0.263255           0.002489           2.368897           0.001621  2.033532  2.098074  1.884567 0.011391 0.011406 0.011393 1.999917  0.004403  2.031552   0.004675      NaN       NaN
52.641763 47.628078 5.532687 0.020887 21.854787  0.018428 -25.011274  0.017237  8.741654   6001847.150563   1681.298300  8.874208   3852419.734306   2798.255100  8.482749   3206702.590185   1523.315000  0.258905   0.238968  2.039416 0.000304 0.000789 0.000516 0.000599      G       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  2.456335  2.588889  2.197430 0.008203 0.008236 0.008214 1.761193  0.002271  1.786696   0.002526      NaN       NaN
52.888217 47.862299 5.780305 0.045015 22.388664  0.052368 -26.603086  0.041236  6.757468  37321526.613632  13387.899000  6.737034  27580577.389048  12942.195000  6.747827  15849929.524476  12212.396000  0.009641   8.497786  0.936383 0.000389 0.000509 0.000837 0.000923    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  0.567222  0.546788  0.557581 0.016915 0.016918 0.016931 3.230469  0.009722  3.304475   0.010181      NaN       NaN
54.122565 48.192516 5.963530 0.133122 22.449023  0.117260 -26.668574  0.110000  4.123160 422360044.186810 398534.030000  4.111847 309512312.248834 461151.100000  4.107095 180434703.890195 260865.730000  0.016065        NaN       NaN 0.001024 0.001618 0.001570 0.001874    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN -1.999323 -2.010636 -2.015388 0.048484 0.048500 0.048499 5.450246  0.026219  5.485482   0.016463      NaN       NaN
51.982575 47.735813 5.803300 0.029570 23.989831  0.030404 -26.503793  0.026415  7.247358  23768605.300730  11192.077000  7.261230  17018639.121376  23161.496000  7.180887  10636611.615783  11859.552000  0.066471   0.425153  2.180802 0.000511 0.001478 0.001211 0.001314    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  1.065733  1.079605  0.999262 0.011076 0.011163 0.011130 2.755958  0.005852  2.806888   0.006079      NaN       NaN
52.654109 48.103484 5.615809 0.119415 21.285008  0.110233 -26.855954  0.110844  5.806673  89593724.158031  57447.120000  5.785555  66251373.742604  66008.570000  5.814310  37448501.679944  43979.777000 -0.007637   7.227358  0.934428 0.000696 0.001082 0.001275 0.001453    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN -0.446265 -0.467383 -0.438629 0.046180 0.046187 0.046192 4.292843  0.027056  4.367832   0.027457      NaN       NaN
51.709534 47.915989 5.580992 0.027017 22.590995  0.026898 -24.168681  0.026956  7.711511  15500381.693958   4275.941400  7.755590  10793968.504278   7392.367000  7.591017   7290403.316482   2622.896200  0.120494   2.982534  1.028200 0.000300 0.000744 0.000391 0.000492    G+U 13.135564 0.001452 13.082721 0.001442 10.927036           0.000718 11.970914           0.001160 10.050812 0.000357  0.052843 0.002047  2.155685           0.001611 -1.043878           0.001364           1.920102           0.001213  1.445068  1.489147  1.324574 0.010516 0.010538 0.010519 2.430220  0.004989  2.477925   0.005288      NaN       NaN
51.771690 48.205396 5.697890 0.038843 23.512782  0.042153 -25.188178  0.041278  6.831640  34857073.549246  12632.131000  6.819602  25560905.416027  21326.035000  6.807853  14997439.764988   8646.616000  0.023787   5.514539  0.877132 0.000393 0.000906 0.000626 0.000739    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  0.610210  0.598172  0.586423 0.014808 0.014831 0.014816 3.189060  0.008601  3.261618   0.009156      NaN       NaN
